nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
4,75,0,4,0,0
5,75,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
5,76,0,5,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
6,76,0,6,0,0
7,76,0,7,0,0
7,77,0,7,0,0
7,78,0,7,0,0
6,79,0,6,0,0
7,79,0,7,0,0
7,80,0,7,0,0
7,81,0,7,0,0
7,82,0,7,0,0
7,83,0,7,0,0
7,84,0,7,0,0
7,85,0,7,0,0
7,85,0,7,0,0
7,86,0,7,0,0
7,87,0,7,0,0
7,88,0,7,0,0
7,89,0,7,0,0
7,90,0,7,0,0
7,91,0,7,0,0
7,92,0,7,0,0
6,93,0,6,0,0
6,93,0,6,0,0
6,93,0,6,0,0
6,93,0,6,0,0
7,93,0,7,0,0
7,94,0,7,0,0
7,95,0,7,0,0
7,96,0,7,0,0
7,97,0,7,0,0
7,98,0,7,0,0
7,99,0,7,0,0
7,100,0,7,0,0
7,101,0,7,0,0
8,102,0,8,0,0
8,103,0,8,0,0
8,105,0,8,0,0
8,107,0,8,0,0
8,109,0,8,0,0
8,110,0,8,0,0
8,111,0,8,0,0
8,112,0,8,0,0
8,114,0,8,0,0
8,115,0,8,0,0
8,116,0,8,0,0
7,117,0,7,0,0
7,117,0,7,0,0
7,117,0,7,0,0
7,117,0,7,0,0
7,117,0,7,0,0
7,117,0,7,0,0
8,117,0,8,0,0
8,118,0,8,0,0
8,119,0,8,0,0
8,120,0,8,0,0
9,121,0,9,0,0
9,123,0,9,0,0
9,125,0,9,0,0
9,126,0,9,0,0
9,126,0,9,0,0
9,126,0,9,0,0
9,126,0,9,0,0
9,126,0,9,0,0
9,126,0,9,0,0
10,126,0,10,0,0
10,127,0,10,0,0
10,128,0,10,0,0
10,129,0,10,0,0
11,130,0,11,0,0
11,132,0,11,0,0
10,134,0,10,0,0
11,135,0,11,0,0
10,137,0,10,0,0
10,138,0,10,0,0
10,139,0,10,0,0
10,140,0,10,0,0
10,140,0,10,0,0
10,140,0,10,0,0
10,140,0,10,0,0
