total_lc,new_lc,total_factors,total_values,new_factors,new_graph_factors,trajectory_len,run_time,optimize_time,mesh_update_time,num_merges_undone
0,0,26,8,26,26,0,nan,nan,nan0
0,0,26,8,0,0,0,0.00109837,nan,nan0
0,0,26,8,0,0,0,0.000688503,nan,nan0
0,0,26,8,0,0,0,0.000862619,nan,nan0
0,0,26,8,0,0,0,0.000489697,nan,nan0
0,0,26,8,0,0,0,0.00063406,nan,nan0
0,0,26,8,0,0,0,0.000388616,nan,nan0
0,0,26,8,0,0,0,0.000315987,nan,nan0
0,0,26,8,0,0,0,0.000650169,nan,nan0
0,0,26,8,0,0,0,0.000334434,nan,nan0
0,0,26,8,0,0,0,0.000502865,nan,nan0
0,0,26,8,0,0,0,0.000771112,nan,nan0
0,0,26,8,0,0,0,0.000386288,nan,nan0
0,0,26,8,0,0,0,0.000450949,nan,nan0
0,0,26,8,0,0,0,0.000494249,nan,nan0
0,0,26,8,0,0,0,0.000451033,nan,nan0
0,0,26,8,0,0,0,0.000443136,nan,nan0
0,0,26,8,0,0,0,0.000441824,nan,nan0
0,0,26,8,0,0,0,0.000899318,nan,nan0
0,0,26,8,0,0,0,0.000806402,nan,nan0
0,0,26,8,0,0,0,0.000509553,nan,nan0
0,0,26,8,0,0,0,0.000495466,nan,nan0
0,0,26,8,0,0,0,0.000606645,nan,nan0
0,0,26,8,0,0,0,0.000620169,nan,nan0
0,0,26,8,0,0,0,0.000616713,nan,nan0
0,0,26,8,0,0,0,0.00088774,nan,nan0
0,0,26,8,0,0,0,0.000878217,nan,nan0
0,0,26,8,0,0,0,0.00113118,nan,nan0
0,0,26,8,0,0,0,0.000373934,nan,nan0
0,0,26,8,0,0,0,0.0011537,nan,nan0
0,0,26,8,0,0,0,0.000499658,nan,nan0
0,0,26,8,0,0,0,0.000874795,nan,nan0
0,0,26,8,0,0,0,0.00091257,nan,nan0
0,0,26,8,0,0,0,0.00102798,nan,nan0
0,0,26,8,0,0,0,0.00120378,nan,nan0
0,0,26,8,0,0,0,0.00093036,nan,nan0
0,0,26,8,0,0,0,0.000614936,nan,nan0
