method,n_rows,n_pred,n_success,success_rate,mean_error_m,median_error_m,p90_error_m
msp_point,44,7,7,0.1590909090909091,5.9774929114750455,4.729349613189697,12.306595230102541
msp_object,44,0,6,0.13636363636363635,,,
